,date,analysed_days,is_holiday,line_id,route_id,segment,hour,h_travel_t,h_sch_t,h_traffic_t,h_boarding_t,s_t_in_motion,s_total_t,adj_sch_t,h_avg_speed,s_speed
45938,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,13,64,60,6,31,39,75,60,39,43
45939,2025/4/21,7,FALSE,TM25,TM86,TM0639_TM0589,13,110,120,7,14,59,75,60,35,40
45940,2025/4/21,7,FALSE,TM25,TM86,TM0589_TM0880,13,111,60,22,12,66,105,60,34,37
45941,2025/4/21,7,FALSE,TM25,TM86,TM0880_TM0891,13,96,120,17,19,59,90,120,35,40
45942,2025/4/21,7,FALSE,TM25,TM86,TM0891_TM0348,13,99,120,24,34,56,120,120,31,35
45943,2025/4/21,7,FALSE,TM25,TM86,TM0348_TM2103,13,116,120,7,15,57,75,60,32,37
45944,2025/4/21,7,FALSE,TM25,TM86,TM2103_TM2261,13,69,60,5,29,42,75,60,34,40
45945,2025/4/21,7,FALSE,TM25,TM86,TM2261_TM0851,13,188,180,54,0,92,180,120,22,26
45946,2025/4/21,7,FALSE,TM25,TM86,TM1721_TM1284,14,59,60,18,39,31,60,60,18,24
45947,2025/4/21,7,FALSE,TM25,TM86,TM1284_TM1280,14,93,60,20,16,29,60,60,16,18
45948,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,14,55,60,7,18,32,60,60,30,35
45949,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,14,95,120,8,34,61,105,120,25,29
45950,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,14,93,60,6,17,48,75,60,40,45
45951,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,14,81,60,14,16,45,75,60,30,33
45952,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,14,54,60,5,13,33,45,60,34,39
45953,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,14,52,60,5,14,28,45,60,36,39
45954,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,14,64,60,6,23,39,75,60,39,43
45955,2025/4/21,7,FALSE,TM25,TM86,TM0639_TM0589,14,98,120,6,12,59,75,60,36,40
45956,2025/4/21,7,FALSE,TM25,TM86,TM0589_TM0880,14,97,60,10,11,66,90,60,34,37
45957,2025/4/21,7,FALSE,TM25,TM86,TM0880_TM0891,14,96,120,14,19,59,90,120,34,40
45958,2025/4/21,7,FALSE,TM25,TM86,TM0891_TM0348,14,102,120,25,33,56,120,120,30,35
45959,2025/4/21,7,FALSE,TM25,TM86,TM0348_TM2103,14,117,120,7,15,57,75,60,31,37
45960,2025/4/21,7,FALSE,TM25,TM86,TM2103_TM2261,14,70,60,6,28,42,75,60,33,40
45961,2025/4/21,7,FALSE,TM25,TM86,TM2261_TM0851,14,223,180,81,0,92,180,180,20,26
45962,2025/4/21,7,FALSE,TM25,TM86,TM1721_TM1284,15,54,60,15,34,31,60,60,19,24
45963,2025/4/21,7,FALSE,TM25,TM86,TM1284_TM1280,15,97,60,23,16,29,75,60,16,18
45964,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,15,54,60,6,16,32,60,60,32,35
45965,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,15,90,120,10,32,61,105,120,26,29
45966,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,15,91,60,6,18,48,75,60,41,45
45967,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,15,88,60,17,15,45,75,60,27,33
45968,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,15,54,60,7,16,33,60,60,36,39
45969,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,15,54,60,5,14,28,45,60,36,39
45970,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,15,66,60,10,26,39,75,60,39,43
45971,2025/4/21,7,FALSE,TM25,TM86,TM0639_TM0589,15,106,120,9,13,59,75,60,35,40
45972,2025/4/21,7,FALSE,TM25,TM86,TM0589_TM0880,15,96,60,11,14,66,90,60,35,37
45973,2025/4/21,7,FALSE,TM25,TM86,TM0880_TM0891,15,98,120,15,20,59,90,120,33,40
45974,2025/4/21,7,FALSE,TM25,TM86,TM0891_TM0348,15,99,120,21,35,56,105,120,32,35
45975,2025/4/21,7,FALSE,TM25,TM86,TM0348_TM2103,15,119,120,7,16,57,75,60,31,37
45976,2025/4/21,7,FALSE,TM25,TM86,TM2103_TM2261,15,71,60,6,27,42,75,60,35,40
45977,2025/4/21,7,FALSE,TM25,TM86,TM2261_TM0851,15,217,180,76,0,92,180,180,20,26
45978,2025/4/21,7,FALSE,TM25,TM86,TM1721_TM1284,16,58,60,17,35,31,60,60,18,24
45979,2025/4/21,7,FALSE,TM25,TM86,TM1284_TM1280,16,93,60,25,16,29,75,60,15,18
45980,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,16,57,60,5,17,32,60,60,30,35
45981,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,16,87,120,6,31,61,105,120,26,29
45982,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,16,87,60,5,19,48,75,60,42,45
45983,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,16,89,60,21,15,45,75,60,29,33
45984,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,16,53,60,6,15,33,60,60,35,39
45985,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,16,53,60,5,15,28,45,60,36,39
45986,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,16,63,60,6,25,39,75,60,40,43
45987,2025/4/21,7,FALSE,TM25,TM86,TM0639_TM0589,16,106,120,9,14,59,75,60,34,40
45988,2025/4/21,7,FALSE,TM25,TM86,TM0589_TM0880,16,97,60,11,15,66,90,60,35,37
45989,2025/4/21,7,FALSE,TM25,TM86,TM0880_TM0891,16,94,120,12,18,59,90,60,34,40
45990,2025/4/21,7,FALSE,TM25,TM86,TM0891_TM0348,16,98,120,25,35,56,120,120,31,35
45991,2025/4/21,7,FALSE,TM25,TM86,TM0348_TM2103,16,117,120,6,14,57,75,60,32,37
